trial_name,real_time_seconds,user_time_seconds,sys_time_seconds,throughput_bytes_per_second,file_size_name,file_size_bytes,delta_size_bytes,speedup,trial_num
Minix3, 1.60, 0.17, 0.21, 6403524.40, large, 15998066, 16006569, 1.00, 1
Minix3, 1.63, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 2
Minix3, 1.62, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 3
Minix3, 1.62, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 4
Minix3, 1.60, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 5
Minix3, 1.60, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 6
Minix3, 1.63, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 7
Minix3, 1.61, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 8
Minix3, 1.58, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 9
Minix3, 1.62, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 10
Minix3, 1.57, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 11
Minix3, 1.63, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 12
Minix3, 1.58, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 13
Minix3, 1.60, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 14
Minix3, 1.60, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 15
Minix3, 1.58, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 16
Minix3, 1.60, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 17
Minix3, 1.60, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 18
Minix3, 1.62, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 19
Minix3, 1.63, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 20
Minix3, 1.65, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 21
Minix3, 1.60, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 22
Minix3, 1.62, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 23
Minix3, 1.62, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 24
Minix3, 1.65, 0.17, 0.22, 10672540.67, large, 15998066, 16006569, 1.00, 25
Minix3, 1.72, 0.17, 0.23, 10672540.67, large, 15998066, 16006569, 1.00, 26
Minix3, 2.17, 0.20, 0.25, 6403524.40, large, 15998066, 16006569, 1.00, 27
Minix3, 1.75, 0.18, 0.24, 6403524.40, large, 15998066, 16006569, 1.00, 28
Minix3, 1.65, 0.17, 0.22, 6403524.40, large, 15998066, 16006569, 1.00, 29
Minix3, 1.97, 0.19, 0.24, 6403524.40, large, 15998066, 16006569, 1.00, 30
Minix3, 0.92, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 1
Minix3, 0.95, 0.11, 0.13, 16013832.00, medium, 7997300, 8004674, 1.00, 2
Minix3, 0.97, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 3
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 4
Minix3, 0.97, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 5
Minix3, 0.93, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 6
Minix3, 0.91, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 7
Minix3, 0.93, 0.11, 0.14, 16013832.00, medium, 7997300, 8004674, 1.00, 8
Minix3, 0.93, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 9
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 10
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 11
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 12
Minix3, 1.03, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 13
Minix3, 0.90, 0.11, 0.14, 16013832.00, medium, 7997300, 8004674, 1.00, 14
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 15
Minix3, 0.90, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 16
Minix3, 0.93, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 17
Minix3, 0.92, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 18
Minix3, 0.92, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 19
Minix3, 0.91, 0.11, 0.14, 16013832.00, medium, 7997300, 8004674, 1.00, 20
Minix3, 0.98, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 21
Minix3, 0.92, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 22
Minix3, 0.91, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 23
Minix3, 0.93, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 24
Minix3, 0.92, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 25
Minix3, 0.97, 0.11, 0.14, 16013832.00, medium, 7997300, 8004674, 1.00, 26
Minix3, 0.93, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 27
Minix3, 0.95, 0.11, 0.14, 5337944.00, medium, 7997300, 8004674, 1.00, 28
Minix3, 0.93, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 29
Minix3, 0.90, 0.11, 0.13, 5337944.00, medium, 7997300, 8004674, 1.00, 30
Minix3, 0.53, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 1
Minix3, 0.53, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 2
Minix3, 0.52, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 3
Minix3, 0.52, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 4
Minix3, 0.55, 0.08, 0.10, 2675408.67, small, 4003880, 4010871, 1.00, 5
Minix3, 0.52, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 6
Minix3, 0.51, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 7
Minix3, 0.53, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 8
Minix3, 0.55, 0.08, 0.10, 2675408.67, small, 4003880, 4010871, 1.00, 9
Minix3, 0.53, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 10
Minix3, 0.53, 0.08, 0.10, 8026226.00, small, 4003880, 4010871, 1.00, 11
Minix3, 0.53, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 12
Minix3, 0.53, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 13
Minix3, 0.52, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 14
Minix3, 0.57, 0.08, 0.10, 2675408.67, small, 4003880, 4010871, 1.00, 15
Minix3, 0.51, 0.08, 0.10, 8026226.00, small, 4003880, 4010871, 1.00, 16
Minix3, 0.52, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 17
Minix3, 0.52, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 18
Minix3, 0.53, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 19
Minix3, 0.60, 0.09, 0.11, 2675408.67, small, 4003880, 4010871, 1.00, 20
Minix3, 0.58, 0.09, 0.11, 8026226.00, small, 4003880, 4010871, 1.00, 21
Minix3, 0.55, 0.08, 0.10, 8026226.00, small, 4003880, 4010871, 1.00, 22
Minix3, 0.55, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 23
Minix3, 0.50, 0.08, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 24
Minix3, 0.52, 0.07, 0.09, 2675408.67, small, 4003880, 4010871, 1.00, 25
Minix3, 0.50, 0.07, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 26
Minix3, 0.50, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 27
Minix3, 0.53, 0.08, 0.10, 2675408.67, small, 4003880, 4010871, 1.00, 28
Minix3, 0.53, 0.08, 0.10, 2675408.67, small, 4003880, 4010871, 1.00, 29
Minix3, 0.51, 0.08, 0.09, 8026226.00, small, 4003880, 4010871, 1.00, 30
Minix3, 0.35, 0.07, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 1
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 2
Minix3, 0.33, 0.06, 0.07, 1336162.00, tiny, 1995352, 2002001, 1.00, 3
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 4
Minix3, 0.37, 0.07, 0.08, 1336162.00, tiny, 1995352, 2002001, 1.00, 5
Minix3, 0.35, 0.06, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 6
Minix3, 0.37, 0.07, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 7
Minix3, 0.35, 0.06, 0.07, 1336162.00, tiny, 1995352, 2002001, 1.00, 8
Minix3, 0.35, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 9
Minix3, 0.37, 0.06, 0.07, 1336162.00, tiny, 1995352, 2002001, 1.00, 10
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 11
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 12
Minix3, 0.37, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 13
Minix3, 0.37, 0.06, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 14
Minix3, 0.37, 0.07, 0.08, 1336162.00, tiny, 1995352, 2002001, 1.00, 15
Minix3, 0.35, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 16
Minix3, 0.35, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 17
Minix3, 0.36, 0.07, 0.09, 4008486.00, tiny, 1995352, 2002001, 1.00, 18
Minix3, 0.43, 0.07, 0.09, 4008486.00, tiny, 1995352, 2002001, 1.00, 19
Minix3, 0.42, 0.07, 0.07, 1336162.00, tiny, 1995352, 2002001, 1.00, 20
Minix3, 0.35, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 21
Minix3, 0.36, 0.07, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 22
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 23
Minix3, 0.40, 0.07, 0.09, 4008486.00, tiny, 1995352, 2002001, 1.00, 24
Minix3, 0.33, 0.06, 0.07, 1336162.00, tiny, 1995352, 2002001, 1.00, 25
Minix3, 0.37, 0.07, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 26
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 27
Minix3, 0.37, 0.07, 0.08, 4008486.00, tiny, 1995352, 2002001, 1.00, 28
Minix3, 0.33, 0.06, 0.07, 4008486.00, tiny, 1995352, 2002001, 1.00, 29
Minix3, 0.37, 0.07, 0.09, 1336162.00, tiny, 1995352, 2002001, 1.00, 30
